Country,GDP 2023,GDP 2022,GDP 2021,average_gdp,Average GDP
United States,26854599,25462700,23315081,25210793.33,25210793.33
China,19373586,17963171,17734131,18356962.67,18356962.67
Japan,4409738,4231141,4940878,4527252.33,4527252.33
Germany,4308854,4072192,4259935,4213660.33,4213660.33
India,3736882,3385090,3201471,3441147.67,3441147.67
United Kingdom,3158938,3070668,3131378,3120328.0,3120328.0
France,2923489,2782905,2957880,2888091.33,2888091.33
Italy,2169745,2010432,2107703,2095960.0,2095960.0
Canada,2089672,2139840,1988336,2072616.0,2072616.0
Brazil,2081235,1920096,1608981,1870104.0,1870104.0
